RI,Category,NoSpecies,NoSpecimen,NoOccurance,UnknownToScience
2,Plants,1616,NA,NA,12
11,Plants,1650,521,NA,0
12,Plants,1500,354,NA,0
16,Plants,1500,596,NA,12
17,Plants,1000,615,NA,10
18,Plants,1200,679,NA,5
20,Plants,1400,965,NA,15
22,Plants,800,693,NA,3
23,Plants,948,827,993,0
24,Plants,1100,973,1034,11
25,Plants,1009,707,626,0
26,Plants,830,663,422,30
27,Plants,962,598,269,1
28,Plants,1304,721,382,0
2,Fishes,77,88,149,10
11,Fishes,195,5081,426,10
12,Fishes,247,6570,666,5
16,Fishes,155,3964,231,8
17,Fishes,136,2175,250,14
18,Fishes,76,698,108,0
20,Fishes,161,1746,276,3
22,Fishes,106,1817,221,1
23,Fishes,262,5828,530,7
24,Fishes,77,1560,174,0
25,Fishes,120,925,190,0
26,Fishes,24,835,44,0
27,Fishes,129,3853,317,4
28,Fishes,212,3545,493,12
2,Amphibians,47,NA,110,7
11,Amphibians,71,NA,132,5
12,Amphibians,62,NA,119,0
16,Amphibians,68,NA,118,3
17,Amphibians,61,NA,99,1
18,Amphibians,51,NA,83,2
20,Amphibians,58,NA,132,1
22,Amphibians,65,NA,116,1
23,Amphibians,74,NA,151,2
24,Amphibians,57,NA,143,0
25,Amphibians,68,NA,123,0
26,Amphibians,65,NA,113,5
27,Amphibians,60,NA,98,4
28,Amphibians,88,NA,150,2
2,Reptiles,22,NA,36,0
11,Reptiles,40,NA,61,0
12,Reptiles,39,NA,62,0
16,Reptiles,33,NA,48,0
17,Reptiles,41,NA,60,1
18,Reptiles,39,NA,61,1
20,Reptiles,48,NA,92,0
22,Reptiles,42,NA,60,0
23,Reptiles,44,NA,69,0
24,Reptiles,48,NA,82,0
25,Reptiles,59,NA,84,0
26,Reptiles,40,NA,58,1
27,Reptiles,43,NA,67,0
28,Reptiles,52,NA,75,0
2,Birds,576,NA,1697,0
11,Birds,400,NA,1468,0
12,Birds,360,NA,815,0
16,Birds,416,NA,1030,1
17,Birds,365,NA,656,0
18,Birds,372,NA,789,0
20,Birds,436,NA,1611,0
22,Birds,395,NA,840,0
23,Birds,375,NA,806,0
24,Birds,332,NA,730,0
25,Birds,364,NA,818,0
26,Birds,422,NA,806,0
27,Birds,395,NA,796,0
28,Birds,399,NA,1027,0
2,Mammals,67,NA,89,1
11,Mammals,59,NA,32,0
12,Mammals,60,NA,129,0
16,Mammals,43,NA,127,0
17,Mammals,62,NA,152,0
18,Mammals,55,NA,138,0
20,Mammals,55,NA,229,0
22,Mammals,44,NA,101,0
23,Mammals,62,NA,121,0
24,Mammals,73,NA,366,0
25,Mammals,35,NA,78,0
26,Mammals,74,NA,153,0
27,Mammals,56,NA,147,0
28,Mammals,44,NA,140,0